,0
0,Arkansas
1,Texas
2,Illinois
3,Oregon
4,Washington
5,California
6,Nevada
7,Pennsylvania
8,Florida
9,Montana
10,Idaho
11,Utah
12,New Mexico
13,Wyoming
14,Colorado
15,North Dakota
16,South Dakota
17,Iowa
18,Kansas
19,Oklahoma
20,Wisconsin
21,Ohio
22,Missouri
23,Louisiana
24,Alabama
25,Mississippi
26,Tennessee
27,Kentucky
28,Indiana
29,Michigan
30,Maine
31,Vermont
32,New Hampshire
33,New York
34,Massachusetts
35,Rhode Island
36,Connecticut
37,New Jersey
38,Delaware
39,Maryland
40,Virginia
41,West Virginia
42,North Carolina
43,South Carolina
44,Georgia
45,Alaska
46,Hawaii
47,Arizona
48,Nebraska
49,Minnesota
