French,English
partie,part
chercher,search
seulement,only
demande,request
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
voici,here is
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
plutôt,rather
filles,girls
jouer,to play
bureau,office
