#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Joel Embiid,PHI,6,41.3,33.0,9.8,22.2,44.4,2.2,6.5,33.3,11.2,13.0,85.9,3.2,7.7,10.8,5.7,1.2,1.5,4.2, 33.8
2,Jalen Brunson,NYK,13,39.8,32.4,11.6,26.2,44.4,2.0,6.5,31.0,7.2,9.2,77.5,0.6,2.7,3.3,7.5,0.8,0.2,2.7, 24.8
3,Shai Gilgeous-Alexander,OKC,10,39.9,30.2,11.1,22.4,49.6,1.6,3.7,43.2,6.4,8.1,79.0,0.8,6.4,7.2,6.4,1.3,1.7,2.2, 31.6
4,Tyrese Maxey,PHI,6,44.5,29.8,11.0,23.0,47.8,3.7,9.2,40.0,4.2,4.7,89.3,0.2,5.0,5.2,6.8,0.8,0.3,2.2, 28.3
5,Donovan Mitchell,CLE,10,38.2,29.6,10.7,22.5,47.6,2.9,8.2,35.4,5.3,6.5,81.5,0.6,4.8,5.4,4.7,1.3,0.3,2.8, 25.5
6,Luka Doncic,DAL,22,40.9,28.9,10.2,22.9,44.6,3.1,9.6,32.2,5.3,7.0,76.5,0.7,8.7,9.5,8.1,1.9,0.4,4.1, 30.2
7,Nikola Jokic,DEN,12,40.2,28.7,11.1,20.3,54.5,1.2,4.4,26.4,5.3,5.9,90.1,3.6,9.8,13.4,8.7,1.4,0.7,3.3, 39.7
8,Anthony Davis,LAL,5,41.6,27.8,11.8,18.6,63.4,0.0,1.0,0.0,4.2,5.2,80.8,3.0,12.6,15.6,4.0,0.4,1.6,2.2, 39.4
8,LeBron James,LAL,5,40.8,27.8,11.2,19.8,56.6,2.0,5.2,38.5,3.4,4.6,73.9,0.8,6.0,6.8,8.8,2.4,1.0,3.8, 33.2
10,Anthony Edwards,MIN,16,40.6,27.6,9.8,20.3,48.1,2.9,7.2,40.0,5.2,6.4,81.4,1.1,5.9,7.0,6.5,1.5,0.6,3.3, 28.2
11,Devin Booker,PHX,4,41.5,27.5,8.0,16.3,49.2,1.8,5.0,35.0,9.8,10.3,95.1,0.3,3.0,3.3,6.0,1.8,0.3,2.8, 27.3
12,Paolo Banchero,ORL,7,37.4,27.0,9.7,21.3,45.6,2.3,5.7,40.0,5.3,7.0,75.5,2.0,6.6,8.6,4.0,1.1,0.6,4.6, 23.4
13,Kevin Durant,PHX,4,42.0,26.8,9.3,16.8,55.2,1.3,3.0,41.7,7.0,8.5,82.4,0.3,6.3,6.5,3.3,0.5,1.5,2.5, 27.0
14,Jayson Tatum,BOS,19,40.4,25.0,8.4,19.6,42.7,2.1,7.3,28.3,6.2,7.2,86.1,0.9,8.8,9.7,6.3,1.1,0.7,2.6, 27.8
15,Khris Middleton,MIL,6,38.3,24.7,9.2,19.0,48.2,1.8,5.2,35.5,4.5,5.0,90.0,2.0,7.2,9.2,4.7,0.5,0.2,2.3, 26.5
16,Jaylen Brown,BOS,19,37.2,23.9,9.2,17.8,51.6,1.9,5.8,32.7,3.6,5.4,66.0,1.2,4.8,5.9,3.3,1.2,0.6,2.7, 21.8
17,Bam Adebayo,MIA,5,38.6,22.6,9.6,19.4,49.5,0.4,2.0,20.0,3.0,4.2,71.4,2.2,7.2,9.4,3.8,0.4,0.0,1.6, 23.6
18,Kyrie Irving,DAL,22,40.0,22.1,8.5,18.1,46.7,2.4,6.2,39.0,2.8,3.3,84.9,1.0,2.7,3.7,5.1,1.0,0.3,2.3, 19.9
19,Pascal Siakam,IND,17,35.4,21.6,9.2,17.1,54.1,0.8,2.8,29.8,2.3,3.7,61.9,2.5,5.1,7.5,3.8,0.8,0.4,1.1, 23.7
20,James Harden,LAC,6,40.3,21.2,6.7,14.8,44.9,3.0,7.8,38.3,4.8,5.3,90.6,0.5,4.0,4.5,8.0,1.0,1.0,2.3, 24.7
21,Jamal Murray,DEN,12,38.5,20.6,8.3,20.8,40.2,1.9,6.1,31.5,2.0,2.2,92.3,0.8,3.6,4.3,5.6,0.8,0.5,2.6, 16.7
22,Paul George,LAC,6,37.0,19.5,6.5,15.8,41.1,3.0,8.2,36.7,3.5,4.2,84.0,0.5,6.3,6.8,4.8,1.2,0.5,2.3, 20.5
23,Karl-Anthony Towns,MIN,16,32.6,19.1,6.8,14.5,46.6,1.9,5.2,36.1,3.7,4.3,85.5,2.2,6.8,9.0,2.6,0.8,0.2,1.7, 21.6
24,Franz Wagner,ORL,7,37.0,18.9,6.0,14.7,40.8,1.3,4.9,26.5,5.6,6.3,88.6,1.4,5.4,6.9,4.4,0.7,1.3,1.3, 21.4
25,Jalen Williams,OKC,10,37.7,18.7,7.5,16.0,46.9,1.5,3.9,38.5,2.2,2.7,81.5,1.3,5.5,6.8,5.4,1.7,0.5,1.9, 22.2
26,Tyrese Haliburton,IND,15,34.8,18.7,7.0,14.3,48.8,3.5,9.3,37.9,1.1,1.3,85.0,0.8,4.0,4.8,8.2,1.3,0.7,2.1, 24.0
27,Donte DiVincenzo,NYK,13,35.8,17.8,6.2,14.7,41.9,3.5,8.2,42.5,2.0,2.3,86.7,1.0,3.0,4.0,2.6,1.2,0.9,1.2, 16.5
28,CJ McCollum,NOP,4,37.0,17.8,7.8,18.5,41.9,1.8,7.3,24.1,0.5,0.5,100,0.5,4.3,4.8,4.8,1.8,0.8,4.0, 15.0
29,Brook Lopez,MIL,6,33.3,17.7,7.3,12.5,58.7,1.7,3.8,43.5,1.3,2.5,53.3,1.8,2.5,4.3,1.8,0.0,1.3,1.5, 17.3
30,Myles Turner,IND,17,32.4,17.0,6.2,12.1,51.7,2.3,5.1,45.3,2.2,2.9,76.0,1.5,5.1,6.6,2.1,0.5,1.5,1.9, 19.2
31,Austin Reaves,LAL,5,34.8,16.8,6.0,12.6,47.6,1.4,5.2,26.9,3.4,3.8,89.5,1.0,2.8,3.8,3.6,1.4,0.6,0.8, 18.4
31,Tyler Herro,MIA,5,37.0,16.8,6.0,15.6,38.5,3.0,8.6,34.9,1.8,2.0,90.0,0.0,3.6,3.6,5.4,0.4,0.0,2.8, 13.6
33,Derrick White,BOS,19,35.6,16.7,5.7,12.7,45.2,3.4,8.5,40.4,1.8,2.0,92.1,1.0,3.3,4.3,4.1,0.9,1.2,0.8, 19.3
34,Bobby Portis,MIL,6,31.2,16.5,7.3,15.2,48.4,0.5,2.0,25.0,1.3,2.2,61.5,2.7,8.7,11.3,1.0,0.5,0.2,1.5, 19.3
34,Bradley Beal,PHX,4,38.5,16.5,6.5,14.8,44.1,2.5,5.8,43.5,1.0,1.3,80.0,1.5,1.3,2.8,4.5,0.8,0.3,3.3, 13.0
36,Ivica Zubac,LAC,6,32.0,16.2,7.0,11.7,60.0,0.0,0.0,0.0,2.2,3.3,65.0,3.0,6.3,9.3,1.0,0.8,0.5,1.3, 20.7
37,Evan Mobley,CLE,12,35.2,16.0,6.8,12.2,55.5,0.4,1.5,27.8,2.1,3.0,69.4,2.5,6.8,9.3,2.3,0.8,2.2,1.8, 22.4
38,Michael Porter Jr.,DEN,12,36.9,15.8,5.7,12.2,46.6,2.8,6.8,40.7,1.7,2.2,76.9,0.7,6.2,6.8,1.1,0.9,0.8,1.5, 16.9
39,Darius Garland,CLE,12,36.0,15.7,6.1,14.3,42.7,2.1,5.9,35.2,1.4,1.8,81.0,0.1,3.5,3.6,5.8,1.1,0.2,2.3, 15.5
40,Chet Holmgren,OKC,10,34.5,15.6,5.9,11.9,49.6,1.3,5.0,26.0,2.5,3.3,75.8,1.4,5.8,7.2,2.1,0.7,2.5,1.9, 19.4
41,Andrew Nembhard,IND,17,32.6,14.9,6.0,10.7,56.0,1.7,3.5,48.3,1.2,1.5,76.9,0.8,2.5,3.3,5.5,0.4,0.2,1.4, 17.9
42,Jalen Suggs,ORL,7,33.1,14.7,4.7,11.7,40.2,2.0,6.9,29.2,3.3,4.3,76.7,1.6,3.6,5.1,3.3,1.3,0.4,2.9, 14.0
43,Josh Hart,NYK,13,42.2,14.5,5.1,11.5,44.0,1.7,4.5,37.3,2.7,3.7,72.9,2.8,8.7,11.5,4.5,1.0,0.8,2.6, 22.3
44,Jonas Valanciunas,NOP,4,22.3,14.5,5.5,10.5,52.4,0.0,0.3,0.0,3.5,4.3,82.4,4.5,6.5,11.0,1.3,0.5,0.0,2.5, 19.0
45,Aaron Gordon,DEN,12,37.1,14.3,5.8,9.8,58.5,0.9,2.3,40.7,1.9,2.3,82.1,3.0,4.3,7.3,4.4,0.8,0.6,1.5, 21.4
46,Brandon Ingram,NOP,4,36.3,14.3,4.8,13.8,34.5,0.5,2.0,25.0,4.3,4.8,89.5,0.3,4.3,4.5,3.3,1.0,1.3,2.3, 12.5
47,D'Angelo Russell,LAL,5,37.0,14.2,5.6,14.6,38.4,2.8,8.8,31.8,0.2,0.4,50.0,0.2,2.6,2.8,4.2,0.8,0.2,1.8, 11.2
48,Kelly Oubre Jr.,PHI,6,37.3,13.2,5.2,10.7,48.4,1.5,3.8,39.1,1.3,1.8,72.7,1.5,2.5,4.0,1.7,1.8,1.2,1.3, 14.5
49,Jrue Holiday,BOS,19,37.9,13.2,5.1,10.2,50.3,1.8,4.6,40.2,1.1,1.2,95.5,1.9,4.2,6.1,4.4,1.1,0.6,1.5, 18.7
50,Herbert Jones,NOP,4,35.3,13.0,4.0,10.3,39.0,2.0,6.0,33.3,3.0,3.0,100,1.5,3.5,5.0,2.5,1.3,0.3,2.8, 13.0
